epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,435.343,1.38355,2.54876,1.3893,0.67361,0.37719,0.37778,0.22007,1.36045,2.05972,1.40641,0.0002366,0.0002366,0.0002366
2,857.406,1.34245,1.73208,1.34734,0.78175,0.35034,0.39928,0.23152,1.37252,1.82351,1.42628,0.000465203,0.000465203,0.000465203
3,1274.65,1.36037,1.59107,1.33741,0.62001,0.432,0.47056,0.25473,1.38302,1.71177,1.41741,0.000684381,0.000684381,0.000684381
4,1684.04,1.35534,1.49006,1.32898,0.55302,0.43985,0.48416,0.27116,1.37091,1.53929,1.38513,0.000671588,0.000671588,0.000671588
5,2086.94,1.32397,1.37243,1.31534,0.68804,0.47943,0.52846,0.2899,1.3514,1.41031,1.37396,0.000657451,0.000657451,0.000657451
6,2486.58,1.32009,1.3187,1.31052,0.60114,0.50316,0.52642,0.28646,1.38389,1.35347,1.38255,0.000643314,0.000643314,0.000643314
7,2884.53,1.29158,1.25384,1.29092,0.63902,0.52616,0.55437,0.30747,1.31482,1.28504,1.36279,0.000629177,0.000629177,0.000629177
8,3286.89,1.27437,1.21211,1.27668,0.71798,0.50431,0.57344,0.324,1.30091,1.18606,1.32745,0.00061504,0.00061504,0.00061504
9,3681.91,1.25087,1.15911,1.26101,0.65241,0.55664,0.58302,0.32874,1.28337,1.20843,1.31909,0.000600902,0.000600902,0.000600902
10,4066.16,1.25443,1.13221,1.25874,0.64878,0.53877,0.57114,0.32409,1.27384,1.18456,1.31103,0.000586765,0.000586765,0.000586765
11,4468.69,1.23455,1.13086,1.25239,0.66355,0.56744,0.6077,0.34393,1.28257,1.12276,1.31979,0.000572628,0.000572628,0.000572628
12,4873.65,1.20538,1.09944,1.24139,0.72922,0.56667,0.61022,0.34466,1.27976,1.09313,1.31685,0.000558491,0.000558491,0.000558491
13,5259.44,1.20731,1.05876,1.23146,0.69408,0.58553,0.61537,0.35138,1.24158,1.04939,1.28876,0.000544354,0.000544354,0.000544354
14,5662.2,1.19274,1.02642,1.22661,0.70498,0.58502,0.63228,0.36465,1.24503,1.01855,1.27825,0.000530216,0.000530216,0.000530216
15,6057.23,1.18781,1.01932,1.21667,0.71631,0.57966,0.63513,0.36356,1.24923,1.01986,1.27642,0.000516079,0.000516079,0.000516079
16,6448.48,1.19059,1.01757,1.22459,0.72391,0.59432,0.63469,0.36516,1.23954,1.01487,1.28162,0.000501942,0.000501942,0.000501942
17,6835.9,1.17022,0.98833,1.2046,0.68626,0.61421,0.64691,0.36847,1.22453,1.00801,1.26331,0.000487805,0.000487805,0.000487805
18,7217.06,1.16458,0.96803,1.20392,0.76619,0.58629,0.65348,0.37078,1.22826,0.96509,1.26309,0.000473668,0.000473668,0.000473668
19,7617.1,1.15873,0.95297,1.18843,0.72305,0.60134,0.64307,0.36902,1.23013,0.96803,1.26381,0.00045953,0.00045953,0.00045953
20,8010.89,1.14286,0.9355,1.19738,0.71532,0.591,0.63146,0.36393,1.22881,0.98041,1.26836,0.000445393,0.000445393,0.000445393
21,8408.03,1.14882,0.91585,1.18236,0.73836,0.61018,0.66126,0.38762,1.21214,0.91994,1.2546,0.000431256,0.000431256,0.000431256
22,8794.05,1.14052,0.91569,1.18106,0.73581,0.58617,0.64621,0.3742,1.21776,0.9518,1.25364,0.000417119,0.000417119,0.000417119
23,9195.83,1.13981,0.90439,1.17796,0.70874,0.59819,0.63915,0.37194,1.22785,0.94769,1.25618,0.000402982,0.000402982,0.000402982
24,9569.74,1.11691,0.8934,1.16538,0.70024,0.61575,0.63938,0.37404,1.21273,0.91468,1.24367,0.000388844,0.000388844,0.000388844
25,9958.71,1.12063,0.87996,1.1739,0.76643,0.60004,0.65791,0.3835,1.20206,0.89979,1.24575,0.000374707,0.000374707,0.000374707
26,10347.3,1.11589,0.87679,1.16998,0.67609,0.62629,0.63922,0.37742,1.18269,0.92579,1.23094,0.00036057,0.00036057,0.00036057
27,10746.9,1.09637,0.84274,1.15345,0.71541,0.61505,0.63793,0.37447,1.19764,0.8967,1.23507,0.000346433,0.000346433,0.000346433
28,11127.3,1.08633,0.85577,1.15342,0.73361,0.62469,0.66518,0.38591,1.19021,0.87621,1.22957,0.000332296,0.000332296,0.000332296
29,11530.7,1.08779,0.8324,1.15069,0.76926,0.6347,0.67301,0.39683,1.18097,0.86865,1.22533,0.000318158,0.000318158,0.000318158
30,11916.5,1.07282,0.81645,1.14637,0.70127,0.65768,0.6677,0.38731,1.1941,0.86406,1.23005,0.000304021,0.000304021,0.000304021
31,12309.7,1.07233,0.82484,1.13637,0.72683,0.63303,0.66864,0.39573,1.18565,0.86107,1.2215,0.000289884,0.000289884,0.000289884
32,12716.3,1.072,0.81398,1.14141,0.71835,0.64361,0.67114,0.39337,1.18141,0.85568,1.22363,0.000275747,0.000275747,0.000275747
33,13110,1.0455,0.7826,1.12903,0.72301,0.64719,0.66716,0.39415,1.16708,0.84739,1.21025,0.00026161,0.00026161,0.00026161
34,13512,1.03931,0.78691,1.13331,0.72323,0.64981,0.66317,0.39429,1.16917,0.83154,1.21276,0.000247472,0.000247472,0.000247472
